episode,env,kicked,target_deg,kicked_deg,error_deg,target_strength,peak_ball_speed
1,0,True,-66.25,-79.17,-12.92,1.2,6.4
2,0,True,10.67,7.97,-2.71,5.1,7.45
3,0,True,25.78,-7.73,-33.5,1.15,5.31
4,0,True,22.45,17.96,-4.5,6.97,7.53
5,0,True,5.44,-27.36,-32.8,1.41,1.57
6,0,True,14.67,-0.57,-15.24,1.01,3.13
7,0,True,5.36,-8.3,-13.66,1.0,7.37
8,0,True,17.99,17.34,-0.65,2.2,4.4
9,0,True,25.8,34.78,8.98,5.88,7.55
10,0,True,-2.63,17.06,19.69,1.07,6.57
